subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
578,0,Warmup,SCMR,6,94.20787897439497,76.00802709167318,80.6811786011355
578,0,Warmup,STL,6,59.69277995191754,41.150308518656914,68.93682712013654
578,0,Warmup,STR,6,84.70372127255337,43.316370254987156,51.138686239777996
578,0,Warmup,UTL,6,40.85120415703854,23.268869363673083,56.96005746666326
578,0,Warmup,UTR,6,54.690591687790366,19.08363777981499,34.89382211982065
579,1,CoolDown,MTL,16,78.65941349340338,31.90308845587573,40.55851301071704
579,1,CoolDown,MTR,16,57.83780403926719,26.045266971152053,45.03156266698753
579,1,CoolDown,SCML,16,132.93315825673733,38.06552574891418,28.635087173207175
579,1,CoolDown,SCMR,16,36.140811605077225,10.946300175569693,30.287920191675795
579,1,CoolDown,STL,16,59.463515287938485,25.001519724072075,42.04514247603414
579,1,CoolDown,STR,16,86.16269617957857,25.22181266140242,29.272311313048537
579,1,CoolDown,UTL,16,107.5470518351779,30.926310789418476,28.75607491018428
579,1,CoolDown,UTR,16,96.60476458450574,26.398335737842096,27.32612190649246
579,1,Warmup,MTL,23,67.94277550011168,18.86878110566378,27.77157831244731
579,1,Warmup,MTR,23,61.72266225010145,17.54059236140139,28.418398886176625
579,1,Warmup,SCML,23,136.92948609113415,14.000620278596713,10.224693510701213
579,1,Warmup,SCMR,23,139.104350863865,87.09529312071793,62.6114802159956
579,1,Warmup,STL,23,61.5921703637376,17.895933233605685,29.05553275346491
579,1,Warmup,STR,23,90.77885561378558,8.964530600232578,9.87513065638518
579,1,Warmup,UTL,23,112.3970114547302,9.842122190774088,8.7565692925369
579,1,Warmup,UTR,23,110.3961358638178,11.011464154689405,9.974501433884333
580,1,Warmup,MTL,13,49.86797108350289,16.141115546927352,32.36770054249728
580,1,Warmup,MTR,13,54.79320279545379,17.86443839484477,32.60338414882181
580,1,Warmup,SCML,13,98.11985051152189,33.18695146634614,33.82287202164979
580,1,Warmup,SCMR,13,152.2204425974826,50.76477251405988,33.34951051764937
580,1,Warmup,STL,13,105.6616115704467,32.31877912629027,30.58705867337893
580,1,Warmup,STR,13,81.11240975619143,24.865326668105542,30.65539137950163
580,1,Warmup,UTL,13,65.56714716534638,33.33528692325393,50.841447835437215
580,1,Warmup,UTR,13,122.97687930777408,36.037661528080456,29.304420254387043
581,0,CoolDown,MTL,6,109.04770415797225,25.75616973732904,23.619176521146464
581,0,CoolDown,MTR,6,71.86477139462697,22.64100411078508,31.50501096908499
581,0,CoolDown,SCML,6,160.07002445206936,6.263730477110415,3.913118960624635
581,0,CoolDown,SCMR,6,148.39825183577264,12.393588112496884,8.351572851553838
581,0,CoolDown,STL,6,99.21006723852214,28.440714026076794,28.667165357018913
581,0,CoolDown,STR,6,87.03807579581272,13.31747491464582,15.300746015902277
581,0,CoolDown,UTL,6,113.38293398688246,45.85308925723842,40.4409090900252
581,0,CoolDown,UTR,6,106.54661002590866,17.417386807398817,16.347199411753667
582,0,CoolDown,MTL,16,61.339333692170825,15.626134816580146,25.474901463715476
582,0,CoolDown,MTR,16,50.709683612997495,14.080811991742967,27.767501172367577
